Date,Close,Volume
2026-06-17 00:00:00-04:00,-1.5274571898041058,
2026-06-18 00:00:00-04:00,-1.545815185865071,
2026-06-22 00:00:00-04:00,-1.5523112394743048,
2026-06-23 00:00:00-04:00,-1.5807532817336218,
2026-06-24 00:00:00-04:00,-1.590408366099739,
2026-06-25 00:00:00-04:00,-1.5856607004938175,
2026-06-26 00:00:00-04:00,-1.579460594131593,
2026-06-29 00:00:00-04:00,-1.5831438191968275,
2026-06-30 00:00:00-04:00,-1.585644882579344,
2026-07-01 00:00:00-04:00,-1.5967023228008452,
2026-07-02 00:00:00-04:00,-1.5730315536355945,
2026-07-06 00:00:00-04:00,-1.5796096192414524,
2026-07-07 00:00:00-04:00,-1.6059735753269333,
2026-07-08 00:00:00-04:00,-1.6277648456885716,
2026-07-09 00:00:00-04:00,-1.6075358639041148,
2026-07-10 00:00:00-04:00,-1.6077418260344647,
2026-07-13 00:00:00-04:00,-1.6102008519048825,
2026-07-14 00:00:00-04:00,-1.6034101869156787,
2026-07-15 00:00:00-04:00,-1.6157691953443623,
2026-07-16 00:00:00-04:00,-1.6314898444063752,
2026-07-17 00:00:00-04:00,-1.642019669645336,
2026-07-20 00:00:00-04:00,-1.6479842535062241,
2026-07-21 00:00:00-04:00,-1.6197898212821817,
2026-07-22 00:00:00-04:00,-1.5982118426226952,
2026-07-23 00:00:00-04:00,-1.5998479690316714,
2026-07-24 00:00:00-04:00,-1.5980748523249106,
2026-07-27 00:00:00-04:00,-1.5987644578080786,
2026-07-28 00:00:00-04:00,-1.6048999388253664,
2026-07-29 00:00:00-04:00,-1.6181803068034464,
2026-07-30 00:00:00-04:00,-1.5917253366332345,
2026-07-31 00:00:00-04:00,-1.6122410412520338,
2026-08-03 00:00:00-04:00,-1.5867228985362996,
2026-08-04 00:00:00-04:00,-1.5690008873700618,
2026-08-05 00:00:00-04:00,-1.5382232695340026,
2026-08-06 00:00:00-04:00,-1.535436319277557,
2026-08-07 00:00:00-04:00,-1.4890455223559078,
2026-08-10 00:00:00-04:00,-1.4925551682746843,
2026-08-11 00:00:00-04:00,-1.4927195043555601,
2026-08-12 00:00:00-04:00,-1.4932697105148849,
2026-08-13 00:00:00-04:00,-1.508460878818024,
2026-08-14 00:00:00-04:00,-1.4956814513132528,
2026-08-17 00:00:00-04:00,-1.4845039853848165,
2026-08-18 00:00:00-04:00,-1.49975855044217,
2026-08-19 00:00:00-04:00,-1.4473721315949124,
2026-08-20 00:00:00-04:00,-1.4252358090186075,
2026-08-21 00:00:00-04:00,-1.4151456892784422,
2026-08-24 00:00:00-04:00,-1.4160997396559667,
2026-08-25 00:00:00-04:00,-1.4003862741246422,
2026-08-26 00:00:00-04:00,-1.4143106691958192,
2026-08-27 00:00:00-04:00,-1.4050204175092986,
2026-08-28 00:00:00-04:00,-1.4117821450680683,
2026-08-31 00:00:00-04:00,-1.4221380020121792,
2026-09-01 00:00:00-04:00,-1.4329092186071648,
2026-09-02 00:00:00-04:00,-1.417205709043003,
2026-09-03 00:00:00-04:00,-1.3967333537174378,
2026-09-04 00:00:00-04:00,-1.4105051964527702,
2026-09-08 00:00:00-04:00,-1.401621842923813,
2026-09-09 00:00:00-04:00,-1.399948583078646,
2026-09-10 00:00:00-04:00,-1.417662222295096,
2026-09-11 00:00:00-04:00,-1.4126434224477507,
