Date,Close,Volume
2026-06-17 00:00:00-04:00,-0.9359066760326424,
2026-06-18 00:00:00-04:00,-0.9267437059529637,
2026-06-22 00:00:00-04:00,-0.9148678042813048,
2026-06-23 00:00:00-04:00,-0.9098771420616689,
2026-06-24 00:00:00-04:00,-0.904785225653308,
2026-06-25 00:00:00-04:00,-0.8987751108463762,
2026-06-26 00:00:00-04:00,-0.8884443985085397,
2026-06-29 00:00:00-04:00,-0.9076573873043694,
2026-06-30 00:00:00-04:00,-0.9104758742079184,
2026-07-01 00:00:00-04:00,-0.9128905860376095,
2026-07-02 00:00:00-04:00,-0.9174058608157489,
2026-07-06 00:00:00-04:00,-0.9216694086223374,
2026-07-07 00:00:00-04:00,-0.9260140831168657,
2026-07-08 00:00:00-04:00,-0.9321114885176582,
2026-07-09 00:00:00-04:00,-0.9278107800697013,
2026-07-10 00:00:00-04:00,-0.9363259010833023,
2026-07-13 00:00:00-04:00,-0.9371563729638055,
2026-07-14 00:00:00-04:00,-0.9371972657633378,
2026-07-15 00:00:00-04:00,-0.9368839706046073,
2026-07-16 00:00:00-04:00,-0.9320593603866776,
2026-07-17 00:00:00-04:00,-0.9273704069950099,
2026-07-20 00:00:00-04:00,-0.9316556911948792,
2026-07-21 00:00:00-04:00,-0.9255951332277021,
2026-07-22 00:00:00-04:00,-0.9337486052609032,
2026-07-23 00:00:00-04:00,-0.9271257259591525,
2026-07-24 00:00:00-04:00,-0.9312958487978467,
2026-07-27 00:00:00-04:00,-0.9255543289677242,
2026-07-28 00:00:00-04:00,-0.9263770594520597,
2026-07-29 00:00:00-04:00,-0.9273668482908377,
2026-07-30 00:00:00-04:00,-0.9301590702673392,
2026-07-31 00:00:00-04:00,-0.942095025944492,
2026-08-03 00:00:00-04:00,-0.9391454864712703,
2026-08-04 00:00:00-04:00,-0.9386500569084726,
2026-08-05 00:00:00-04:00,-0.9431022445332964,
2026-08-06 00:00:00-04:00,-0.9465865699468603,
2026-08-07 00:00:00-04:00,-0.9416463632912011,
2026-08-10 00:00:00-04:00,-0.9466020531741703,
2026-08-11 00:00:00-04:00,-0.940040510911377,
2026-08-12 00:00:00-04:00,-0.936843827799378,
2026-08-13 00:00:00-04:00,-0.9411906664142053,
2026-08-14 00:00:00-04:00,-0.9339838001051923,
2026-08-17 00:00:00-04:00,-0.9326269848448883,
2026-08-18 00:00:00-04:00,-0.938524462488239,
2026-08-19 00:00:00-04:00,-0.9356695476632213,
2026-08-20 00:00:00-04:00,-0.940748079945779,
2026-08-21 00:00:00-04:00,-0.9371674254613795,
2026-08-24 00:00:00-04:00,-0.9408809783890302,
2026-08-25 00:00:00-04:00,-0.939852089132736,
2026-08-26 00:00:00-04:00,-0.9410772174697577,
2026-08-27 00:00:00-04:00,-0.9446691026381551,
2026-08-28 00:00:00-04:00,-0.9560314679115276,
2026-08-31 00:00:00-04:00,-0.9592103535433516,
2026-09-01 00:00:00-04:00,-0.9638133022218023,
2026-09-02 00:00:00-04:00,-0.956471113605649,
2026-09-03 00:00:00-04:00,-0.9628796996003635,
2026-09-04 00:00:00-04:00,-0.9562439702977361,
2026-09-08 00:00:00-04:00,-0.9552738460509307,
2026-09-09 00:00:00-04:00,-0.9643859460490649,
2026-09-10 00:00:00-04:00,-0.9685407956465752,
2026-09-11 00:00:00-04:00,-0.9729012260208059,
