Date,Open,High,Low,Close,Volume
2026-06-18 00:00:00-04:00,93.46166927413343,93.6299241993884,93.36269623287514,93.39238739013672,6836500
2026-06-22 00:00:00-04:00,93.14495965697,93.16475124659507,93.00639587611535,93.03608703613281,4572200
2026-06-23 00:00:00-04:00,93.19444454891286,93.29341759361341,93.12515511134727,93.15485382080078,6504600
2026-06-24 00:00:00-04:00,93.60023541667873,93.80808107394168,93.59033584695406,93.75859832763672,5179800
2026-06-25 00:00:00-04:00,93.88725978900553,94.04561514418218,93.80807833583772,93.81797790527344,5630500
2026-06-26 00:00:00-04:00,93.8575730130035,94.10500940233368,93.8575730130035,94.0555191040039,5584100
2026-06-29 00:00:00-04:00,94.00603879975749,94.09511227767462,93.95654850014161,94.08521270751953,5901500
2026-06-30 00:00:00-04:00,93.90706133937323,93.92686048034517,93.58045102493394,93.6002426147461,8034000
2026-07-01 00:00:00-04:00,93.38277311453754,93.54165096520512,93.34305175785212,93.37284088134766,7890500
2026-07-02 00:00:00-04:00,93.43241491066212,93.60123256297304,93.37283666636048,93.46221160888672,7605500
2026-07-06 00:00:00-04:00,93.48206819601735,93.53172178349067,93.37283636443505,93.52178955078125,4600500
2026-07-07 00:00:00-04:00,93.3430418535407,93.3628987417394,93.03521084198418,93.04513549804688,5813600
2026-07-08 00:00:00-04:00,92.87633271983493,92.9359109651793,92.70752264064329,92.85647583007812,5509600
2026-07-09 00:00:00-04:00,92.93591253035156,93.19409755798186,92.93591253035156,93.0550765991211,3223100
2026-07-10 00:00:00-04:00,93.08486354700146,93.12458490232973,92.93591035853892,92.97563171386719,6507600
2026-07-13 00:00:00-04:00,92.8465395433502,92.86639643224004,92.60821899630423,92.63800811767578,5769700
2026-07-14 00:00:00-04:00,92.94584046897907,93.13451500846152,92.80681951654161,92.89619445800781,5315900
2026-07-15 00:00:00-04:00,92.98556705244,93.21396295918751,92.98556705244,93.12458801269531,6735500
2026-07-16 00:00:00-04:00,92.92598149209208,93.0947915625345,92.88626013856324,93.06500244140625,4841200
2026-07-17 00:00:00-04:00,93.30333002416464,93.44235098396484,93.16430906436443,93.18416595458984,7561300
2026-07-20 00:00:00-04:00,93.08486782541824,93.10473229203234,92.78696901087486,92.88626861572266,3784800
2026-07-21 00:00:00-04:00,92.74724237416801,92.76709926357755,92.6082214200799,92.65786743164062,2786200
